,strain,image_name,patch_index,patch_centroid_x_nm,patch_centroid_y_nm,patch_area_nm2,patch_circularity
0,WT,MG_C1_save-2025.07.21-15.21.04.930,0,83.35492130714243,202.0139233044994,2645.9693908691397,0.5662589754770633
1,WT,MG_C1_save-2025.07.21-15.21.04.930,1,153.60360125018576,332.5709789251747,2139.0914916992197,0.7558285836385069
2,WT,MG_C1_save-2025.07.21-15.21.04.930,2,237.79184839583831,232.00657130212048,2008.9149475097672,0.7077323404775344
3,WT,MG_C1_save-2025.07.21-15.21.04.930,3,145.6560559006211,206.3467261904762,1919.269561767579,0.7300061834847676
4,WT,MG_C1_save-2025.07.21-15.21.04.930,4,267.7379917117581,296.6885447532852,1850.6050109863288,0.49869043292455567
5,WT,MG_C1_save-2025.07.21-15.21.04.930,5,133.53406689851354,399.05925249934234,1208.3053588867201,0.7618116289000001
6,WT,MG_C1_save-2025.07.21-15.21.04.930,6,264.27047242673603,451.91398919084753,1101.0169982910165,0.882049364497824
7,WT,MG_C1_save-2025.07.21-15.21.04.930,7,229.0997323984904,96.95826961868815,916.0041809082029,0.5521062720742769
8,WT,MG_C1_save-2025.07.21-15.21.04.930,8,212.2965669053355,458.46420386108144,890.7318115234375,0.6935999997007649
9,WT,MG_C1_save-2025.07.21-15.21.04.930,9,199.18288292988316,292.77075652708226,856.8763732910156,0.8571026704272026
10,WT,MG_C1_save-2025.07.21-15.21.04.930,10,265.40695271164026,144.47833994708995,751.0185241699229,0.8308384457965923
11,WT,MG_C1_save-2025.07.21-15.21.04.930,11,45.85481099656359,209.5844072164949,693.7980651855469,0.8128134241090227
12,WT,MG_C1_save-2025.07.21-15.21.04.930,12,442.15403478013656,46.30737458933537,628.9482116699219,0.8214298850418055
13,WT,MG_C1_save-2025.07.21-15.21.04.930,13,377.4410332314745,110.87055560860708,624.1798400878906,0.8793575734427862
14,WT,MG_C1_save-2025.07.21-15.21.04.930,14,269.07815335018154,95.96536417833073,613.2125854492188,0.8209486648908401
15,WT,MG_C1_save-2025.07.21-15.21.04.930,15,229.47362263997402,327.9368082682293,610.3515625,0.8207918692947705
16,WT,MG_C1_save-2025.07.21-15.21.04.930,16,328.7557711385837,360.83209325396837,520.7061767578125,0.7637539130610049
17,WT,MG_C1_save-2025.07.21-15.21.04.930,17,277.7512270390968,367.50117174334355,471.5919494628906,0.7474956076770967
